t, acceleration, velocity
5.880000,0.218701,1.288996
5.890000,0.218700,1.291183
5.900000,0.218700,1.293370
5.910000,0.218699,1.295557
5.920000,0.218699,1.297744
5.930000,0.218699,1.299931
5.940000,0.218698,1.302118
5.950000,0.218698,1.304305
5.960000,0.218697,1.306492
5.970000,0.218697,1.308679
5.980000,0.218696,1.310866
5.990000,0.218696,1.313053
6.000000,0.218695,1.315240
6.010000,0.218695,1.317427
6.020000,0.218694,1.319614
6.030000,0.218694,1.321801
6.040000,0.218693,1.323988
6.050000,0.218693,1.326175
6.060000,0.218692,1.328362
6.070000,0.218692,1.330549
6.080000,0.218691,1.332735
6.090000,0.218691,1.334922
6.100000,0.218690,1.337109
6.110000,0.218690,1.339296
6.120000,0.218689,1.341483
6.130000,0.218689,1.343670
6.140000,0.218688,1.345857
6.150000,0.218688,1.348044
6.160000,0.218687,1.350231
6.170000,0.218687,1.352417
6.180000,0.218686,1.354604
6.190000,0.218686,1.356791
6.200000,0.218685,1.358978
6.210000,0.218685,1.361165
6.220000,0.218684,1.363352
6.230000,0.218684,1.365539
6.240000,0.218683,1.367725
6.250000,0.218683,1.369912
6.260000,0.218682,1.372099
6.270000,0.218682,1.374286
6.280000,0.218681,1.376473
6.290000,0.218681,1.378660
6.300000,0.218680,1.380846
6.310000,0.218680,1.383033
6.320000,0.218680,1.385220
6.330000,0.218679,1.387407
6.340000,0.218679,1.389594
6.350000,0.218678,1.391780
6.360000,0.218678,1.393967
6.370000,0.218677,1.396154
6.380000,0.218677,1.398341
6.390000,0.218676,1.400527
6.400000,0.218676,1.402714
6.410000,0.218675,1.404901
6.420000,0.218675,1.407088
6.430000,0.218674,1.409274
6.440000,0.218674,1.411461
6.450000,0.218673,1.413648
6.460000,0.218673,1.415835
6.470000,0.218672,1.418021
6.480000,0.218672,1.420208
6.490000,0.218671,1.422395
6.500000,0.218671,1.424582
6.510000,0.218670,1.426768
6.520000,0.218670,1.428955
6.530000,0.218669,1.431142
6.540000,0.218669,1.433328
6.550000,0.218668,1.435515
6.560000,0.218668,1.437702
6.570000,0.218667,1.439888
6.580000,0.218667,1.442075
6.590000,0.218666,1.444262
6.600000,0.218666,1.446448
6.610000,0.218665,1.448635
6.620000,0.218665,1.450822
6.630000,0.218664,1.453008
6.640000,0.218664,1.455195
6.650000,0.218663,1.457382
6.660000,0.218663,1.459568
6.670000,0.218662,1.461755
6.680000,0.218662,1.463942
6.690000,0.218661,1.466128
6.700000,0.218661,1.468315
6.710000,0.218660,1.470501
6.720000,0.218660,1.472688
6.730000,0.218660,1.474875
6.740000,0.218659,1.477061
6.750000,0.218659,1.479248
6.760000,0.218658,1.481434
6.770000,0.218658,1.483621
6.780000,0.218657,1.485808
6.790000,0.218657,1.487994
6.800000,0.218656,1.490181
6.810000,0.218656,1.492367
6.820000,0.218655,1.494554
6.830000,0.218655,1.496740
6.840000,0.218654,1.498927
6.850000,0.218654,1.501113
6.860000,0.218653,1.503300
6.870000,0.218653,1.505486
6.880000,0.218652,1.507673
6.890000,0.218652,1.509860
6.900000,0.218651,1.512046
6.910000,0.218651,1.514233
6.920000,0.218650,1.516419
6.930000,0.218650,1.518606
6.940000,0.218649,1.520792
6.950000,0.218649,1.522979
6.960000,0.218648,1.525165
6.970000,0.218648,1.527352
6.980000,0.218647,1.529538
6.990000,0.218647,1.531724
7.000000,0.218646,1.533911
7.010000,0.218646,1.536097
7.020000,0.218645,1.538284
